name	len	score	pvalue
NODE_34_length_21921_cov_25.004299	21921	0.934261679649353	0.015201299191781857
NODE_31_length_24414_cov_6.675110	24414	0.9866786003112793	0.00819548304252587
NODE_28_length_26702_cov_6.660262	26702	0.8014398217201233	0.02509630636755042
NODE_22_length_34439_cov_18.249651	34439	0.1790665239095688	0.15416572248659263
NODE_25_length_28372_cov_17.527598	28372	0.9717076420783997	0.01053704962610469
NODE_16_length_38573_cov_6.385145	38573	1.0	0.0
NODE_13_length_39608_cov_28.662579	39608	0.9639509916305542	0.01174560012085505
NODE_19_length_35998_cov_7.326934	35998	0.920746922492981	0.01629654807764937
NODE_35_length_21840_cov_28.823548	21840	0.885460376739502	0.018845834277513407
NODE_32_length_24024_cov_13.833785	24024	0.9996934533119202	0.0023604501850592943
NODE_4_length_59687_cov_8.073182	59687	0.9271366596221924	0.015843341642117984
NODE_7_length_54062_cov_13.376581	54062	0.9552452564239502	0.013010801420046831
NODE_29_length_26260_cov_4.603816	26260	0.9996906518936157	0.002379333786539769
NODE_10_length_48940_cov_6.300767	48940	0.9747992753982544	0.009932774378729511
NODE_26_length_27733_cov_24.989703	27733	0.9910585880279541	0.007213535765541204
NODE_23_length_34289_cov_11.439183	34289	0.26084303855895996	0.12935267014124935
NODE_33_length_22287_cov_4.304201	22287	0.9999939799308777	0.000585391645894705
NODE_36_length_21647_cov_25.221702	21647	0.9995476007461548	0.0027758894176297304
NODE_17_length_38367_cov_28.014330	38367	1.0	0.0
NODE_30_length_26086_cov_10.793976	26086	0.9999698400497437	0.0010197144799456153
NODE_20_length_34817_cov_5.550659	34817	0.9999496936798096	0.0011518996903089357
NODE_14_length_39479_cov_12.359933	39479	0.9937946796417236	0.006590376916685551
NODE_37_length_21238_cov_17.430864	21238	0.6259903907775879	0.03958002870307425
NODE_27_length_27212_cov_23.238723	27212	0.9948501586914062	0.006118286879673691
NODE_24_length_30492_cov_26.495910	30492	0.9452170133590698	0.014162701110355768
NODE_43_length_19511_cov_5.772050	19511	0.9676363468170166	0.011254626482362716
NODE_40_length_20269_cov_23.672356	20269	0.7059381604194641	0.03259309615529874
NODE_11_length_47620_cov_11.263786	47620	0.9963233470916748	0.0056650804441423066
NODE_5_length_56341_cov_17.934087	56341	0.945292592048645	0.014162701110355768
NODE_8_length_51666_cov_10.753638	51666	0.18486790359020233	0.15218294433114282
NODE_44_length_19097_cov_32.224504	19097	0.9999241828918457	0.0014729209154769997
NODE_38_length_21196_cov_23.153351	21196	0.11064791679382324	0.18352972278873025
NODE_46_length_18137_cov_5.287745	18137	0.9982836842536926	0.004399879144950525
NODE_18_length_36272_cov_5.244139	36272	0.9999861121177673	0.0007931112621799229
NODE_49_length_17587_cov_34.068731	17587	0.9799123406410217	0.009309615529873857
NODE_41_length_19994_cov_30.783891	19994	0.5340985655784607	0.05155223204169499
NODE_15_length_39149_cov_13.652376	39149	0.9356800317764282	0.015087997582899011
