"name","length","score","pvalue"
"NODE_1_length_170947_cov_11.607934",170947,0.726043402419621,0.0411108416201795
"NODE_2_length_123929_cov_12.537215",123929,0.813867906717316,0.0263157894736842
"NODE_3_length_65580_cov_9.171339",65580,0.835253039548361,0.0236478292505457
"NODE_4_length_59687_cov_8.073182",59687,0.571745585607089,0.0719136551055057
"NODE_5_length_56341_cov_17.934087",56341,0.94830008167405,0.00727625515401407
"NODE_6_length_54722_cov_28.131615",54722,0.959448097366812,0.00642735871937909
"NODE_7_length_54062_cov_13.376581",54062,0.837084660777094,0.0234052874120786
"NODE_8_length_51666_cov_10.753638",51666,0.363504989256218,0.132670385641523
"NODE_9_length_51657_cov_10.816306",51657,0.985140008105698,0.00303177298083919
"NODE_10_length_48940_cov_6.300767",48940,0.57356059295797,0.0717923841862721
"NODE_11_length_47620_cov_11.263786",47620,0.931688583487324,0.00945913170021829
"NODE_12_length_44911_cov_10.944110",44911,0.616404346718393,0.063424690759156
"NODE_13_length_39608_cov_28.662579",39608,0.876266319749041,0.0169779286926995
"NODE_14_length_39479_cov_12.359933",39479,0.845613338159763,0.0220713073005093
"NODE_15_length_39149_cov_13.652376",39149,0.942742177099256,0.00824642250788261
"NODE_16_length_38573_cov_6.385145",38573,0.967832226163814,0.00533592044627698
"NODE_17_length_38367_cov_28.014330",38367,0.993356507584809,0.00157652195003638
"NODE_18_length_36272_cov_5.244139",36272,0.979889997786757,0.00363812757700703
"NODE_19_length_35998_cov_7.326934",35998,0.754103687242998,0.0361387339316032
"NODE_20_length_34817_cov_5.550659",34817,0.621061270662188,0.0620907106475867
"NODE_21_length_34709_cov_5.928868",34709,0.854971305412211,0.0207373271889401
"NODE_22_length_34439_cov_18.249651",34439,0.0162485970455448,0.650739752607325
"NODE_23_length_34289_cov_11.439183",34289,0.312350087461809,0.156803298569003
"NODE_24_length_30492_cov_26.495910",30492,0.972778708785939,0.00460829493087558
"NODE_25_length_28372_cov_17.527598",28372,0.924884363365296,0.0104292990540868
"NODE_26_length_27733_cov_24.989703",27733,0.981344126870863,0.0033955857385399
"NODE_27_length_27212_cov_23.238723",27212,0.917012044064335,0.0117632791656561
"NODE_28_length_26702_cov_6.660262",26702,0.917372877954469,0.0117632791656561
