Header,Length,phage_score,chromosome_score,plasmid_score,Possible_source
NODE_47_length_18024_cov_9.437698,18024,0.808876123909309,0.0900937364084495,0.101030154990779,phage
NODE_48_length_17759_cov_32.094385,17759,0.861282154173456,0.0103284588393744,0.128389407811357,phage
NODE_49_length_17587_cov_34.068731,17587,0.587389822276373,0.0680304294831337,0.344579751521913,phage
NODE_50_length_17453_cov_43.388033,17453,0.964470486606642,0.00299900893188873,0.0325304790185081,phage
NODE_51_length_17040_cov_25.975213,17040,0.78188223129427,0.104461129822827,0.113656644927482,phage
NODE_52_length_16827_cov_87.369902,16827,0.748973605169037,0.1956856293545,0.0553407470512947,phage
NODE_53_length_16784_cov_31.933050,16784,0.976030552750888,0.00421651849200639,0.0197529493126267,phage
NODE_54_length_16230_cov_29.214652,16230,0.789658959218182,0.0638176367136661,0.146523394446008,phage
NODE_55_length_16036_cov_29.192103,16036,0.937323231802941,0.0031616454149555,0.0595151247440105,phage
NODE_56_length_15799_cov_4.618267,15799,0.42974312369691,0.40252635910229,0.167730517499844,phage
NODE_57_length_15471_cov_40.148028,15471,0.616862224774327,0.11585379800123,0.267283976137268,phage
NODE_58_length_15470_cov_7.342264,15470,0.978551217295234,0.00594117554213864,0.0155076146399411,phage
NODE_59_length_15366_cov_9.115668,15366,0.666530307524898,0.147158446670094,0.186311233684723,phage
NODE_60_length_15143_cov_28.856641,15143,0.894081766103286,0.0442508571558089,0.0616673863908844,phage
NODE_61_length_14893_cov_4.504178,14893,0.824117880562975,0.0759628113493494,0.0999193064874109,phage
NODE_62_length_14772_cov_15.504587,14772,0.699238631030004,0.0729568965419459,0.227804485473564,phage
NODE_63_length_14684_cov_17.773805,14684,0.808872474957734,0.116873461453704,0.0742540836749785,phage
NODE_64_length_14587_cov_4.766240,14587,0.465531129719192,0.178978751245322,0.355490103323193,phage
NODE_65_length_13937_cov_21.460020,13937,0.875553126095477,0.0246575281148934,0.0997893530095913,phage
NODE_66_length_13861_cov_11.163262,13861,0.893090428303811,0.0365181661268368,0.0703914103403727,phage
NODE_67_length_13790_cov_3.436112,13790,0.931381751308413,0.0300811266884859,0.0385371360774513,phage
NODE_68_length_13481_cov_7.627588,13481,0.923887785203856,0.054933071609386,0.021179136910907,phage
NODE_69_length_13471_cov_14.651535,13471,0.742711743394513,0.0672164178397836,0.190071840773187,phage
NODE_70_length_13341_cov_22.118696,13341,0.936245044972727,0.018686097455388,0.0450688792916807,phage
NODE_71_length_13252_cov_4.212927,13252,0.637490250015057,0.209572633980823,0.152937109491327,phage
NODE_72_length_13193_cov_6.962627,13193,0.41847658169547,0.315146358620314,0.266377060414987,phage
NODE_73_length_13120_cov_11.406276,13120,0.882027471210899,0.00178486217075355,0.11618764826092,phage
NODE_74_length_13048_cov_15.412222,13048,0.590791121134358,0.26873867411525,0.140470223016534,phage
NODE_75_length_13043_cov_3.710887,13043,0.928766481474957,0.068145131817012,0.0030883945705029,phage
NODE_76_length_13004_cov_11.526064,13004,0.885421010593351,0.0268445102878403,0.0877344961545563,phage
NODE_77_length_13002_cov_7.923921,13002,0.434361578368018,0.215959389582455,0.349679040713524,phage
NODE_78_length_12929_cov_8.046916,12929,0.930306031588879,0.0420056649926423,0.0276882881980549,phage
NODE_79_length_12919_cov_29.034748,12919,0.944450773615357,0.00642461207737654,0.0491246129151454,phage
NODE_80_length_12895_cov_4.779673,12895,0.432188348923371,0.155495204355751,0.412316435827401,phage
NODE_81_length_12875_cov_6.177535,12875,0.84854165234612,0.104531051335515,0.0469272952790297,phage
NODE_82_length_12873_cov_8.700967,12873,0.718502253259264,0.207614341304939,0.0738833966517164,phage
NODE_83_length_12839_cov_45.718789,12839,0.952428784490384,0.0197016592385326,0.0278695450728437,phage
NODE_84_length_12732_cov_7.443165,12732,0.292585832571556,0.203697946315858,0.503716213145872,plasmid
NODE_85_length_12640_cov_6.040922,12640,0.633395577721958,0.0501273329370829,0.316477109406945,phage
NODE_86_length_12500_cov_4.893049,12500,0.868891017913818,0.0552002963516716,0.0759086603836622,phage
